Text,StrTime,User,MessageType,Sentiment,Confidence,Positive_Prob,Negative_Prob
新的转机和闪闪的星斗布在没有遮拦的天空,2024-11-10 12:19:10,Matteo,text,2,0.699499,0.864775,0.135225
tmd[捂脸],2022-04-05 07:42:07,R,text,0,0.998816,0.000532873,0.999467
性取向是流动的[OK],2021-12-15 12:37:32,R,text,1,0.0,0.0,0.0
可能,2024-01-14 04:40:24,Matteo,text,1,0.0,0.0,0.0
真要进厂了,2024-02-13 23:16:12,Matteo,text,1,0.0,0.0,0.0
主要是我要出国 tmd美国就喜欢这样的,2021-11-11 03:25:18,R,text,2,0.887643,0.949439,0.0505606
要不是按入职比例折算,2023-12-04 21:19:33,Matteo,text,0,0.991412,0.00386451,0.996135
那下学期过了是不是可以延迟拿学位证？,2022-12-01 20:14:25,R,text,1,0.0,0.0,0.0
仿佛看到了我过几个月的样子,2023-12-01 10:31:16,R,text,1,0.0,0.0,0.0
睡醒一看,2024-10-26 23:51:00,Matteo,text,1,0.0,0.0,0.0
好抽象啊哈哈哈哈,2024-09-10 09:48:26,Matteo,text,2,0.994975,0.997739,0.00226114
你去问问 关心一下业务,2024-09-10 09:28:54,R,text,0,0.758285,0.108772,0.891228
至少没有更坏,2024-02-18 23:26:36,Matteo,text,1,0.0,0.0,0.0
线上课上到想吐,2022-03-13 08:57:07,Matteo,text,1,0.0,0.0,0.0
就是可以拖一会,2023-12-11 13:16:58,Matteo,text,2,0.887988,0.949595,0.0504054
疫情他妈的什么时候滚啊,2022-03-13 08:47:22,R,text,0,0.98842,0.00521118,0.994789
要破防了,2024-11-07 13:13:32,R,text,1,0.0,0.0,0.0
ó？继续读,2023-02-20 22:38:33,R,text,1,0.0,0.0,0.0
老人味等于烟茶混合味,2024-11-07 13:56:27,Matteo,text,1,0.0,0.0,0.0
[发怒][发怒][发怒],2022-05-02 21:47:40,Matteo,text,1,0.0,0.0,0.0
没希望吧,2022-03-26 22:08:54,Matteo,text,0,0.983561,0.00739742,0.992603
狠一点,2022-12-01 20:18:22,R,text,0,0.933845,0.0297697,0.97023
他妈的呀 疫情让我的几次旅行都取消了,2022-03-13 08:50:36,R,text,1,0.0,0.0,0.0
安琪拉二闪我也摁不出来,2022-05-01 05:20:48,R,text,1,0.0,0.0,0.0
嗯嗯好好okok牛啊,2021-12-15 12:36:57,R,text,1,0.0,0.0,0.0
你问问咯,2023-12-11 13:29:05,R,text,0,0.843719,0.0703264,0.929674
二硕了,2024-08-17 10:19:48,R,text,2,0.520997,0.784449,0.215551
可以直接对着问题发语音吗,2021-10-14 04:01:38,Matteo,text,1,0.0,0.0,0.0
草 不走寻常路啊,2022-05-07 00:26:14,R,text,1,0.0,0.0,0.0
哈哈哈哈哈真的,2024-01-14 04:50:08,R,text,1,0.0,0.0,0.0
